Feature,Importance
having_IP_Address,0.3937709905669346
SSLfinal_State,0.16809119717881874
URL_of_Anchor,0.12731602151846994
Prefix_Suffix,0.05579291196642969
DNSRecord,0.045867942125160446
having_Sub_Domain,0.02923572065190531
SFH,0.025762740144026488
Links_in_tags,0.018425657821192067
Links_pointing_to_page,0.014963890594339424
double_slash_redirecting,0.014684178678950912
HTTPS_token,0.012786949245642252
Redirect,0.01261210171095739
having_At_Symbol,0.010376174721089433
Abnormal_URL,0.009929372113405674
web_traffic,0.00963090849808779
Page_Rank,0.008609035767476287
Request_URL,0.006902524107457724
Shortining_Service,0.0062486465283706815
popUpWidnow,0.004160320071709284
on_mouseover,0.0036078089026783974
Domain_registeration_length,0.0032258979870144187
port,0.003209070548277536
URL_Length,0.0031964580502616816
Favicon,0.0031611194248826776
Submitting_to_email,0.00253929178747744
age_of_domain,0.0024694412543807167
Statistical_report,0.0012264538224989884
Google_Index,0.0011238403168729867
Iframe,0.0006193366713429423
RightClick,0.00045399722388816217
